phenotype	chrom	start_pos	end_pos	finemapping_region	repeat_unit	white_brit_allele_frequencies	association_p_value	direction_of_association	finemapping	susie_CP	finemap_CP	susie_CP_best_guess_genotypes	finemap_CP_pval_thresh_5e-4	finemap_CP_mac_thresh_100	finemap_CP_prior_effect_size_0.05%	finemap_CP_prior_4_signals	finemap_CP_stopping_thresh_1e-4	susie_CP_prior_snps_over_strs	finemap_CP_prior_snps_over_strs	finemap_CP_prior_effect_size_0.0025%	other_ethnicity_association_p_values	other_ethnicity_effect_directions	black_allele_frequencies	south_asian_allele_frequencies	chinese_allele_frequencies	irish_allele_frequencies	white_other_allele_frequencies
gamma_glutamyltransferase	2	111878544	111878598	2_111736838_112148641	CCG	{8.33: 1311.84, 11.33: 340.65, 12.33: 67.33, 13.33: 1554.55, 14.33: 20335.76, 15.33: 1789.81, 16.33: 674.1, 17.33: 482733.61, 18.33: 43565.81, 19.33: 36338.7, 20.33: 6099.49, 21.33: 8019.06, 22.33: 395.02, 23.33: 1184.77, 24.33: 6942.74, 25.33: 1795.89, 26.33: 2106.36, 27.33: 3119.66, 28.33: 5519.39, 29.33: 7100.4, 30.33: 12747.09, 31.33: 4442.16, 32.33: 6406.47, 33.33: 1799.61, 34.33: 1238.78, 35.33: 1067.66, 36.33: 2680.3}	4.4e-12	-	not	0.61019499400663	0.696821										0.0696, 0.498, 0.512, 0.403, 0.00773	NA, NA, NA, NA, -	{8.33: 8.0, 11.33: 1.11, 12.33: 1.24, 13.33: 2.7, 14.33: 253.71, 15.33: 897.58, 16.33: 6.44, 17.33: 8360.17, 18.33: 1714.29, 19.33: 95.26, 20.33: 228.2, 21.33: 400.37, 22.33: 1.0, 23.33: 516.56, 24.33: 378.9, 25.33: 75.58, 26.33: 2.82, 27.33: 6.74, 28.33: 15.02, 29.33: 16.01, 30.33: 213.88, 31.33: 8.38, 32.33: 12.07, 33.33: 6.78, 34.33: 3.02, 35.33: 5.02, 36.33: 234.59}	{8.33: 63.56, 11.33: 1.07, 12.33: 3.44, 13.33: 9.56, 14.33: 485.96, 15.33: 81.14, 16.33: 38.37, 17.33: 9768.36, 18.33: 1594.77, 19.33: 604.52, 20.33: 292.85, 21.33: 181.2, 22.33: 6.06, 23.33: 24.36, 24.33: 24.65, 25.33: 6.31, 26.33: 6.26, 27.33: 8.4, 28.33: 20.86, 29.33: 36.67, 30.33: 72.09, 31.33: 35.04, 32.33: 33.83, 33.33: 8.98, 34.33: 7.35, 35.33: 2.0, 36.33: 25.18}	{8.33: 0.46, 11.33: 0.01, 12.33: 7.6, 13.33: 0.7, 14.33: 321.82, 15.33: 3.55, 16.33: 12.18, 17.33: 2213.73, 18.33: 123.57, 19.33: 35.67, 20.33: 17.8, 21.33: 12.21, 22.33: 0.73, 23.33: 2.84, 24.33: 0.75, 25.33: 0.17, 26.33: 0.27, 27.33: 0.21, 28.33: 0.46, 29.33: 1.79, 30.33: 2.3, 31.33: 0.94, 32.33: 0.85, 33.33: 0.18, 34.33: 0.45, 35.33: 0.01, 36.33: 3.31}	{8.33: 41.42, 11.33: 15.0, 12.33: 0.98, 13.33: 42.35, 14.33: 547.62, 15.33: 102.41, 16.33: 26.54, 17.33: 16039.05, 18.33: 1233.54, 19.33: 1420.51, 20.33: 205.67, 21.33: 313.32, 22.33: 17.95, 23.33: 58.74, 24.33: 259.55, 25.33: 75.6, 26.33: 66.21, 27.33: 115.3, 28.33: 148.2, 29.33: 249.67, 30.33: 469.34, 31.33: 164.93, 32.33: 267.73, 33.33: 63.37, 34.33: 39.15, 35.33: 27.85, 36.33: 69.98}	{8.33: 50.45, 11.33: 12.13, 12.33: 2.62, 13.33: 66.27, 14.33: 834.52, 15.33: 73.26, 16.33: 38.7, 17.33: 20891.32, 18.33: 2121.48, 19.33: 1554.87, 20.33: 311.69, 21.33: 308.11, 22.33: 23.55, 23.33: 53.84, 24.33: 352.02, 25.33: 117.76, 26.33: 116.83, 27.33: 130.33, 28.33: 213.96, 29.33: 337.06, 30.33: 682.12, 31.33: 233.23, 32.33: 280.12, 33.33: 103.81, 34.33: 64.24, 35.33: 29.28, 36.33: 162.5}
neutrophil_count	2	111878544	111878598	2_111736838_112149305	CCG	{8.33: 1331.07, 11.33: 343.07, 12.33: 69.26, 13.33: 1568.17, 14.33: 20598.66, 15.33: 1810.09, 16.33: 685.61, 17.33: 489332.47, 18.33: 44259.68, 19.33: 36780.43, 20.33: 6154.65, 21.33: 8126.54, 22.33: 405.98, 23.33: 1199.35, 24.33: 7044.86, 25.33: 1820.74, 26.33: 2152.96, 27.33: 3152.85, 28.33: 5562.57, 29.33: 7192.65, 30.33: 12947.27, 31.33: 4508.58, 32.33: 6491.63, 33.33: 1827.56, 34.33: 1261.43, 35.33: 1080.34, 36.33: 2726.37}	4.56e-12	-	not	0.242540277134962	0.743274	0.0	1.0	0.828696	0.922823	1.0	0.75084	0.0677832267402456	0.307177	1.0	0.909, 0.0752, 0.912, 0.221, 0.139	NA, NA, NA, NA, NA	{8.33: 7.9, 11.33: 1.13, 12.33: 1.26, 13.33: 2.57, 14.33: 258.33, 15.33: 906.94, 16.33: 6.41, 17.33: 8417.65, 18.33: 1725.03, 19.33: 95.81, 20.33: 223.1, 21.33: 404.34, 22.33: 1.0, 23.33: 507.96, 24.33: 380.28, 25.33: 76.21, 26.33: 2.59, 27.33: 6.76, 28.33: 13.7, 29.33: 16.63, 30.33: 211.25, 31.33: 7.74, 32.33: 11.87, 33.33: 6.58, 34.33: 2.94, 35.33: 5.98, 36.33: 239.6}	{8.33: 65.24, 11.33: 1.1, 12.33: 3.52, 13.33: 9.72, 14.33: 481.37, 15.33: 82.93, 16.33: 38.24, 17.33: 9835.71, 18.33: 1604.44, 19.33: 607.74, 20.33: 304.95, 21.33: 184.81, 22.33: 6.14, 23.33: 24.75, 24.33: 24.78, 25.33: 6.42, 26.33: 6.9, 27.33: 8.29, 28.33: 23.32, 29.33: 37.58, 30.33: 73.23, 31.33: 36.15, 32.33: 33.78, 33.33: 8.98, 34.33: 7.38, 35.33: 2.04, 36.33: 25.43}	{8.33: 0.46, 11.33: 0.01, 12.33: 7.8, 13.33: 0.7, 14.33: 326.2, 15.33: 3.2, 16.33: 13.97, 17.33: 2262.03, 18.33: 126.42, 19.33: 35.3, 20.33: 17.35, 21.33: 12.28, 22.33: 0.75, 23.33: 2.98, 24.33: 0.89, 25.33: 0.17, 26.33: 0.26, 27.33: 0.2, 28.33: 0.4, 29.33: 1.54, 30.33: 2.07, 31.33: 0.89, 32.33: 0.74, 33.33: 0.14, 34.33: 0.42, 35.33: 0.01, 36.33: 3.37}	{8.33: 41.56, 11.33: 16.08, 12.33: 0.98, 13.33: 41.91, 14.33: 566.1, 15.33: 104.92, 16.33: 27.32, 17.33: 16244.65, 18.33: 1257.18, 19.33: 1455.28, 20.33: 208.9, 21.33: 313.63, 22.33: 18.13, 23.33: 60.02, 24.33: 262.58, 25.33: 77.39, 26.33: 69.85, 27.33: 113.56, 28.33: 151.07, 29.33: 255.72, 30.33: 478.57, 31.33: 168.37, 32.33: 270.64, 33.33: 63.85, 34.33: 39.1, 35.33: 29.3, 36.33: 69.54}	{8.33: 52.15, 11.33: 12.11, 12.33: 3.04, 13.33: 68.07, 14.33: 854.35, 15.33: 72.53, 16.33: 39.38, 17.33: 21239.08, 18.33: 2172.77, 19.33: 1589.61, 20.33: 310.17, 21.33: 318.02, 22.33: 24.65, 23.33: 55.16, 24.33: 358.6, 25.33: 120.41, 26.33: 117.65, 27.33: 130.43, 28.33: 209.93, 29.33: 337.38, 30.33: 687.25, 31.33: 234.03, 32.33: 287.67, 33.33: 103.58, 34.33: 64.44, 35.33: 28.76, 36.33: 162.93}
neutrophil_percent	2	111878544	111878598	2_111462016_112368926	CCG	{8.33: 1333.6, 11.33: 343.1, 12.33: 68.56, 13.33: 1567.17, 14.33: 20614.09, 15.33: 1809.6, 16.33: 685.35, 17.33: 489435.23, 18.33: 44215.11, 19.33: 36795.36, 20.33: 6138.86, 21.33: 8159.08, 22.33: 403.86, 23.33: 1200.75, 24.33: 7019.93, 25.33: 1816.86, 26.33: 2152.98, 27.33: 3163.68, 28.33: 5564.96, 29.33: 7166.43, 30.33: 12917.52, 31.33: 4491.51, 32.33: 6492.18, 33.33: 1824.4, 34.33: 1258.19, 35.33: 1067.22, 36.33: 2735.6}	1.25e-17	-	doubly	0.889801341013552	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.634677124932208	1.0	1.0	0.532, 0.022, 0.612, 0.0405, 0.0434	NA, -, NA, -, -	{8.33: 7.72, 11.33: 1.12, 12.33: 1.32, 13.33: 2.63, 14.33: 256.24, 15.33: 896.95, 16.33: 6.42, 17.33: 8419.88, 18.33: 1726.36, 19.33: 96.83, 20.33: 225.96, 21.33: 411.22, 22.33: 0.99, 23.33: 508.67, 24.33: 381.06, 25.33: 76.68, 26.33: 2.68, 27.33: 6.77, 28.33: 13.38, 29.33: 16.45, 30.33: 209.22, 31.33: 8.08, 32.33: 12.19, 33.33: 5.82, 34.33: 2.98, 35.33: 5.95, 36.33: 238.01}	{8.33: 64.5, 11.33: 1.09, 12.33: 3.57, 13.33: 9.6, 14.33: 486.87, 15.33: 83.25, 16.33: 38.32, 17.33: 9829.25, 18.33: 1601.2, 19.33: 610.21, 20.33: 302.08, 21.33: 183.39, 22.33: 6.04, 23.33: 24.87, 24.33: 25.33, 25.33: 7.57, 26.33: 6.96, 27.33: 8.52, 28.33: 24.65, 29.33: 37.97, 30.33: 73.72, 31.33: 36.62, 32.33: 34.63, 33.33: 9.18, 34.33: 7.37, 35.33: 2.05, 36.33: 26.17}	{8.33: 0.46, 11.33: 0.01, 12.33: 7.68, 13.33: 0.7, 14.33: 325.57, 15.33: 3.21, 16.33: 13.97, 17.33: 2263.66, 18.33: 127.03, 19.33: 34.29, 20.33: 16.91, 21.33: 12.24, 22.33: 0.75, 23.33: 2.94, 24.33: 0.89, 25.33: 0.17, 26.33: 0.26, 27.33: 0.21, 28.33: 0.4, 29.33: 1.53, 30.33: 2.09, 31.33: 0.9, 32.33: 0.72, 33.33: 0.14, 34.33: 0.41, 35.33: 0.01, 36.33: 3.41}	{8.33: 41.76, 11.33: 16.17, 12.33: 0.98, 13.33: 42.22, 14.33: 563.5, 15.33: 104.98, 16.33: 27.36, 17.33: 16246.64, 18.33: 1249.19, 19.33: 1455.98, 20.33: 207.07, 21.33: 315.8, 22.33: 18.22, 23.33: 60.21, 24.33: 261.19, 25.33: 77.36, 26.33: 69.53, 27.33: 113.6, 28.33: 152.73, 29.33: 258.12, 30.33: 482.56, 31.33: 169.95, 32.33: 270.44, 33.33: 63.92, 34.33: 40.45, 35.33: 29.51, 36.33: 68.8}	{8.33: 52.67, 11.33: 12.18, 12.33: 3.06, 13.33: 68.83, 14.33: 852.15, 15.33: 72.32, 16.33: 39.3, 17.33: 21229.64, 18.33: 2169.1, 19.33: 1590.84, 20.33: 311.58, 21.33: 318.85, 22.33: 24.69, 23.33: 55.61, 24.33: 358.86, 25.33: 120.58, 26.33: 117.79, 27.33: 131.01, 28.33: 213.03, 29.33: 338.89, 30.33: 687.64, 31.33: 234.98, 32.33: 288.78, 33.33: 103.93, 34.33: 64.57, 35.33: 29.08, 36.33: 164.23}
lymphocyte_count	2	129076444	129076494	2_128905338_129208550	CCG	{9.0: 44286.85, 17.0: 623171.12, 22.0: 2704.03}	2.01e-18	-	confidently	0.999978728000593	1.0	0.999992727820558	1.0	1.0	1.0	1.0	1.0	0.999915706299911	1.0	1.0	0.355, 0.272, 1.0, 0.433, 0.0552	NA, NA, NA, NA, NA	{9.0: 136.41, 17.0: 13395.56, 22.0: 4.03}	{9.0: 805.99, 17.0: 12700.52, 22.0: 35.49}	{9.0: 11.07, 17.0: 2808.25, 22.0: 0.68}	{9.0: 1420.03, 17.0: 20898.77, 22.0: 77.2}	{9.0: 2281.37, 17.0: 27233.85, 22.0: 126.78}
lymphocyte_percent	2	129076444	129076494	2_128905338_129201473	CCG	{9.0: 44315.71, 17.0: 623130.9, 22.0: 2721.39}	4.73e-14	-	confidently	0.960157566053747	0.97701	0.985457047670659	0.970831	0.976843	0.983116	0.987965	0.97701	0.85691495640441	0.905795	0.985726	0.82, 0.15, 1.0, 0.0513, 0.0995	NA, NA, NA, NA, NA	{9.0: 136.08, 17.0: 13395.91, 22.0: 4.01}	{9.0: 805.07, 17.0: 12701.5, 22.0: 35.43}	{9.0: 11.07, 17.0: 2808.24, 22.0: 0.69}	{9.0: 1416.45, 17.0: 20908.02, 22.0: 73.53}	{9.0: 2279.34, 17.0: 27236.38, 22.0: 126.28}
creatinine	2	148599967	148599977	2_148248434_149286696	A	{10.0: 190848.26, 11.0: 186644.61, 12.0: 283617.13, 13.0: 0.0}	5.45e-34	-	confidently	0.993225493219051	0.937933	0.990896489281527	0.946084	0.816743	0.934029	0.96725	0.938052	0.969665965405113	0.776924	0.453297	0.000542, 0.976, 0.131, 0.916, 0.0992	-, NA, NA, NA, NA	{10.0: 1826.72, 11.0: 8721.31, 12.0: 2909.97, 13.0: 0.0}	{10.0: 3994.54, 11.0: 3002.86, 12.0: 6442.6, 13.0: 0.0}	{10.0: 1274.39, 11.0: 478.2, 12.0: 1011.41, 13.0: 0.0}	{10.0: 5906.57, 11.0: 6450.38, 12.0: 9721.05, 13.0: 0.0}	{10.0: 8990.47, 11.0: 8670.02, 12.0: 11513.51, 13.0: 0.0}
cystatin_c	2	148599967	148599977	2_148268958_149081584	A	{10.0: 190874.23, 11.0: 186738.82, 12.0: 283708.95, 13.0: 0.0}	1.77e-16	-	not	0.0	0.310938										0.28, 0.397, 0.00602, 0.181, 0.128	NA, NA, -, NA, NA	{10.0: 1832.28, 11.0: 8716.59, 12.0: 2915.13, 13.0: 0.0}	{10.0: 4003.59, 11.0: 3012.6, 12.0: 6423.81, 13.0: 0.0}	{10.0: 1283.37, 11.0: 481.14, 12.0: 1003.49, 13.0: 0.0}	{10.0: 5884.99, 11.0: 6448.02, 12.0: 9754.99, 13.0: 0.0}	{10.0: 9003.98, 11.0: 8666.37, 12.0: 11525.65, 13.0: 0.0}
eosinophil_count	2	148599967	148599977	2_148344982_149081584	A	{10.0: 193658.05, 11.0: 189031.21, 12.0: 287472.74, 13.0: 0.0}	3.82e-12	-	not	0.0	0.565853										0.78, 0.756, 0.459, 0.855, 0.262	NA, NA, NA, NA, NA	{10.0: 1845.14, 11.0: 8757.87, 12.0: 2932.99, 13.0: 0.0}	{10.0: 4032.44, 11.0: 3043.81, 12.0: 6465.75, 13.0: 0.0}	{10.0: 1305.39, 11.0: 491.65, 12.0: 1022.96, 13.0: 0.0}	{10.0: 5973.67, 11.0: 6538.52, 12.0: 9883.81, 13.0: 0.0}	{10.0: 9186.04, 11.0: 8790.2, 12.0: 11665.76, 13.0: 0.0}
eosinophil_percent	2	148599967	148599977	2_148451732_149080901	A	{10.0: 193744.9, 11.0: 188945.03, 12.0: 287478.07, 13.0: 0.0}	3.92e-11	-	not	0.0	0.444171										0.971, 0.784, 0.589, 0.901, 0.288	NA, NA, NA, NA, NA	{10.0: 1837.76, 11.0: 8752.8, 12.0: 2945.44, 13.0: 0.0}	{10.0: 4034.07, 11.0: 3041.75, 12.0: 6466.18, 13.0: 0.0}	{10.0: 1310.39, 11.0: 488.67, 12.0: 1020.94, 13.0: 0.0}	{10.0: 5972.22, 11.0: 6537.98, 12.0: 9887.8, 13.0: 0.0}	{10.0: 9183.53, 11.0: 8798.55, 12.0: 11659.92, 13.0: 0.0}
urate	2	148599967	148599977	2_148268958_149081584	A	{10.0: 190898.45, 11.0: 186466.18, 12.0: 283297.37, 13.0: 0.0}	1.16e-14	-	not	0.0	0.0114547										0.0151, 0.231, 0.787, 0.064, 0.197	-, NA, NA, NA, NA	{10.0: 1834.73, 11.0: 8716.01, 12.0: 2899.26, 13.0: 0.0}	{10.0: 3991.73, 11.0: 3015.69, 12.0: 6414.58, 13.0: 0.0}	{10.0: 1276.39, 11.0: 477.19, 12.0: 1008.42, 13.0: 0.0}	{10.0: 5883.43, 11.0: 6481.0, 12.0: 9705.57, 13.0: 0.0}	{10.0: 9001.46, 11.0: 8661.88, 12.0: 11498.66, 13.0: 0.0}
alkaline_phosphatase	2	204311891	204311922	2_202845250_204566397	A	{28.0: 949.16, 29.0: 1108.58, 31.0: 8905.04, 32.0: 367006.74, 33.0: 265138.28, 34.0: 18327.62, 36.0: 0.0}	1.26e-10	+	not	0.0	0.0										0.373, 0.217, 0.951, 0.616, 0.795	NA, NA, NA, NA, NA	{28.0: 0.19, 29.0: 19.23, 31.0: 1190.76, 32.0: 8719.63, 33.0: 3490.9, 34.0: 47.72, 36.0: 0.0}	{28.0: 2.12, 29.0: 96.18, 31.0: 59.52, 32.0: 5600.92, 33.0: 7035.29, 34.0: 646.9, 36.0: 0.0}	{28.0: 0.38, 29.0: 19.82, 31.0: 87.28, 32.0: 1794.92, 33.0: 806.25, 34.0: 57.47, 36.0: 0.0}	{28.0: 18.99, 29.0: 54.47, 31.0: 186.37, 32.0: 12095.72, 33.0: 9027.9, 34.0: 701.39, 36.0: 0.0}	{28.0: 38.93, 29.0: 117.91, 31.0: 403.92, 32.0: 15731.88, 33.0: 12168.6, 34.0: 726.35, 36.0: 0.0}
igf_1	2	204311891	204311922	2_204186891_204436891	A	{28.0: 938.56, 29.0: 1100.43, 31.0: 8891.56, 32.0: 364985.63, 33.0: 264270.75, 34.0: 18236.32, 36.0: 0.0}	3.97e-11	-	confidently	0.999708765555712	1.0	0.999161052385017	1.0	1.0	1.0	1.0	1.0	0.998905667800844	1.0	1.0	0.137, 0.779, 0.645, 0.113, 0.686	NA, NA, NA, NA, NA	{28.0: 1.04, 29.0: 19.44, 31.0: 1174.4, 32.0: 8655.07, 33.0: 3477.54, 34.0: 48.95, 36.0: 0.0}	{28.0: 2.12, 29.0: 95.94, 31.0: 59.7, 32.0: 5554.53, 33.0: 7007.73, 34.0: 638.91, 36.0: 0.0}	{28.0: 0.38, 29.0: 19.94, 31.0: 87.31, 32.0: 1785.1, 33.0: 803.59, 34.0: 55.81, 36.0: 0.0}	{28.0: 17.66, 29.0: 54.36, 31.0: 181.27, 32.0: 12053.66, 33.0: 8976.57, 34.0: 695.32, 36.0: 0.0}	{28.0: 38.26, 29.0: 114.92, 31.0: 405.11, 32.0: 15645.78, 33.0: 12115.74, 34.0: 721.79, 36.0: 0.0}
mean_sphered_cell_volume	2	204311891	204311922	2_203513183_204546284	A	{28.0: 952.27, 29.0: 1106.82, 31.0: 8904.49, 32.0: 367162.02, 33.0: 265132.14, 34.0: 18319.94, 36.0: 0.0}	2.09e-8	-	not	0.0	0.0										0.496, 0.217, 0.797, 0.801, 0.98	NA, NA, NA, NA, NA	{28.0: 0.19, 29.0: 19.49, 31.0: 1168.66, 32.0: 8556.07, 33.0: 3433.77, 34.0: 48.29, 36.0: 0.0}	{28.0: 1.99, 29.0: 88.95, 31.0: 59.04, 32.0: 5545.31, 33.0: 6930.56, 34.0: 637.08, 36.0: 0.0}	{28.0: 0.38, 29.0: 20.7, 31.0: 89.17, 32.0: 1785.44, 33.0: 805.59, 34.0: 58.83, 36.0: 0.0}	{28.0: 18.5, 29.0: 53.18, 31.0: 183.48, 32.0: 12100.22, 33.0: 9007.8, 34.0: 697.69, 36.0: 0.0}	{28.0: 37.14, 29.0: 118.69, 31.0: 405.27, 32.0: 15663.93, 33.0: 12110.05, 34.0: 718.52, 36.0: 0.0}
platelet_count	2	204311891	204311922	2_203386571_204569331	A	{28.0: 959.24, 29.0: 1118.79, 31.0: 9083.54, 32.0: 372460.57, 33.0: 268924.59, 34.0: 18655.24, 36.0: 0.0}	4.28e-8	+	not	0.0	0.0										0.141, 0.17, 0.661, 0.37, 0.00253	NA, NA, NA, NA, +	{28.0: 0.19, 29.0: 20.9, 31.0: 1202.51, 32.0: 8792.92, 33.0: 3509.81, 34.0: 48.14, 36.0: 0.0}	{28.0: 1.98, 29.0: 93.85, 31.0: 59.26, 32.0: 5689.73, 33.0: 7075.15, 34.0: 656.97, 36.0: 0.0}	{28.0: 0.38, 29.0: 21.03, 31.0: 90.92, 32.0: 1825.62, 33.0: 823.76, 34.0: 58.4, 36.0: 0.0}	{28.0: 19.83, 29.0: 55.39, 31.0: 182.3, 32.0: 12310.2, 33.0: 9167.64, 34.0: 711.52, 36.0: 0.0}	{28.0: 36.71, 29.0: 120.59, 31.0: 413.13, 32.0: 16004.3, 33.0: 12389.04, 34.0: 731.9, 36.0: 0.0}
alkaline_phosphatase	2	208453453	208453466	2_208328448_208661939	A	{12.0: 300760.08, 13.0: 241170.99, 14.0: 688.35, 15.0: 118886.73, 16.0: 3.02}	1.2e-8	+	not	0.0	0.216837										0.171, 0.473, 0.0362, 0.349, 0.759	NA, NA, +, NA, NA	{12.0: 979.51, 13.0: 7353.65, 14.0: 3425.44, 15.0: 1685.77, 16.0: 24.41}	{12.0: 5546.09, 13.0: 6749.21, 14.0: 27.89, 15.0: 1119.88, 16.0: 0.01}	{12.0: 1683.41, 13.0: 1075.34, 14.0: 2.94, 15.0: 5.0, 16.0: 0.0}	{12.0: 9551.57, 13.0: 8890.29, 14.0: 15.25, 15.0: 3630.16, 16.0: 0.04}	{12.0: 13437.78, 13.0: 10092.94, 14.0: 80.32, 15.0: 5579.88, 16.0: 0.53}
shbg	2	208453453	208453466	2_208246637_208659400	A	{12.0: 276895.85, 13.0: 222030.21, 14.0: 634.88, 15.0: 109848.36, 16.0: 3.33}	2.87e-16	+	confidently	0.933241901978606	0.99852	0.943640505966066	0.98232	0.997523	1.0	1.0	0.998527	0.737203821465761	0.968585	1.0	0.25, 0.0881, 0.808, 0.011, 0.589	NA, NA, NA, +, NA	{12.0: 877.98, 13.0: 6783.81, 14.0: 3171.82, 15.0: 1544.06, 16.0: 21.06}	{12.0: 5016.86, 13.0: 6148.96, 14.0: 25.88, 15.0: 1035.16, 16.0: 0.01}	{12.0: 1536.4, 13.0: 975.46, 14.0: 2.78, 15.0: 4.0, 16.0: 0.0}	{12.0: 8670.42, 13.0: 8131.73, 14.0: 14.97, 15.0: 3297.81, 16.0: 0.04}	{12.0: 12241.07, 13.0: 9177.97, 14.0: 68.9, 15.0: 5048.46, 16.0: 0.53}
mean_platelet_volume	3	15702773	15702812	3_15435665_16152711	A	{27.0: 56286.69, 28.0: 2032.18, 29.0: 58.55, 33.0: 6125.03, 34.0: 379039.44, 35.0: 4339.38, 38.0: 1993.74, 39.0: 552.57, 40.0: 157402.65, 41.0: 62694.55, 42.0: 640.49}	6.93e-37	+	confidently	0.999985820284296	0.997087	0.999982351215929	1.0	1.0	1.0	1.0	1.0	0.999945053350972	1.0	1.0	0.821, 0.621, 0.865, 0.174, 0.00161	NA, NA, NA, NA, +	{27.0: 1109.33, 28.0: 300.56, 29.0: 446.83, 33.0: 2217.05, 34.0: 1783.91, 35.0: 37.16, 38.0: 1124.43, 39.0: 2518.59, 40.0: 2700.59, 41.0: 1142.57, 42.0: 193.84}	{27.0: 2275.75, 28.0: 7.31, 29.0: 2.05, 33.0: 65.36, 34.0: 6696.7, 35.0: 144.56, 38.0: 207.32, 39.0: 4.17, 40.0: 2462.05, 41.0: 1693.65, 42.0: 17.19}	{27.0: 1151.72, 28.0: 0.51, 29.0: 1.22, 33.0: 85.35, 34.0: 771.5, 35.0: 111.3, 38.0: 9.34, 39.0: 0.56, 40.0: 677.42, 41.0: 10.11, 42.0: 1.04}	{27.0: 2014.02, 28.0: 72.87, 29.0: 1.01, 33.0: 130.85, 34.0: 12101.45, 35.0: 298.45, 38.0: 42.89, 39.0: 9.33, 40.0: 5646.79, 41.0: 2108.13, 42.0: 20.29}	{27.0: 2503.16, 28.0: 98.69, 29.0: 10.81, 33.0: 379.04, 34.0: 16955.35, 35.0: 181.42, 38.0: 161.86, 39.0: 86.31, 40.0: 6533.88, 41.0: 2743.41, 42.0: 40.37}
platelet_count	3	15702773	15702812	3_15577768_15827768	A	{27.0: 56163.79, 28.0: 2015.68, 29.0: 57.39, 33.0: 6109.31, 34.0: 378984.47, 35.0: 4331.34, 38.0: 1998.92, 39.0: 563.51, 40.0: 157587.5, 41.0: 62721.97, 42.0: 639.42}	2.11e-8	-	not	0.0	0.142292										0.958, 0.374, 0.66, 0.408, 0.528	NA, NA, NA, NA, NA	{27.0: 1111.97, 28.0: 297.19, 29.0: 447.48, 33.0: 2207.64, 34.0: 1783.86, 35.0: 35.21, 38.0: 1135.15, 39.0: 2530.73, 40.0: 2697.68, 41.0: 1136.08, 42.0: 191.9}	{27.0: 2279.65, 28.0: 7.38, 29.0: 2.29, 33.0: 65.68, 34.0: 6688.31, 35.0: 145.74, 38.0: 206.9, 39.0: 4.15, 40.0: 2466.77, 41.0: 1691.9, 42.0: 17.35}	{27.0: 1148.8, 28.0: 0.51, 29.0: 1.22, 33.0: 86.35, 34.0: 771.36, 35.0: 111.05, 38.0: 9.34, 39.0: 0.56, 40.0: 679.76, 41.0: 10.08, 42.0: 1.04}	{27.0: 2016.44, 28.0: 71.57, 29.0: 1.02, 33.0: 137.9, 34.0: 12113.62, 35.0: 293.86, 38.0: 44.95, 39.0: 9.37, 40.0: 5632.78, 41.0: 2104.24, 42.0: 20.33}	{27.0: 2505.31, 28.0: 99.06, 29.0: 11.82, 33.0: 378.76, 34.0: 16955.48, 35.0: 181.51, 38.0: 160.69, 39.0: 86.4, 40.0: 6531.21, 41.0: 2743.0, 42.0: 41.06}
platelet_distribution_width	3	15702773	15702812	3_15377860_16132746	A	{27.0: 56165.62, 28.0: 2036.68, 29.0: 57.93, 33.0: 6128.29, 34.0: 378939.63, 35.0: 4341.14, 38.0: 1982.43, 39.0: 548.07, 40.0: 157401.43, 41.0: 62638.5, 42.0: 643.61}	1.97e-17	+	not	0.0	0.0										0.0113, 0.938, 0.0544, 0.455, 0.00212	+, NA, NA, NA, +	{27.0: 1116.13, 28.0: 295.68, 29.0: 450.73, 33.0: 2209.19, 34.0: 1784.97, 35.0: 36.78, 38.0: 1135.92, 39.0: 2522.86, 40.0: 2701.38, 41.0: 1130.97, 42.0: 190.25}	{27.0: 2267.65, 28.0: 7.11, 29.0: 2.29, 33.0: 67.85, 34.0: 6696.72, 35.0: 144.02, 38.0: 207.89, 39.0: 4.13, 40.0: 2471.28, 41.0: 1690.0, 42.0: 17.17}	{27.0: 1151.64, 28.0: 0.51, 29.0: 1.22, 33.0: 85.35, 34.0: 767.85, 35.0: 111.88, 38.0: 8.34, 39.0: 0.59, 40.0: 681.73, 41.0: 9.92, 42.0: 1.04}	{27.0: 1993.42, 28.0: 71.91, 29.0: 1.09, 33.0: 132.98, 34.0: 12122.95, 35.0: 293.37, 38.0: 43.93, 39.0: 9.3, 40.0: 5654.33, 41.0: 2101.98, 42.0: 20.81}	{27.0: 2502.67, 28.0: 98.01, 29.0: 11.79, 33.0: 381.81, 34.0: 16964.67, 35.0: 181.64, 38.0: 160.86, 39.0: 85.22, 40.0: 6526.58, 41.0: 2740.81, 42.0: 40.25}
